ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1982,249,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1982,5010,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Agriculture,1982,998,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Total,1982,3949,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Agriculture,1982,998,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Total,1982,3949,,,,Data reference period: Second semester | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Agriculture,1982,2060.3,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Total,1982,11116.5,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Agriculture,1982,2060.3,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Total,1982,11116.5,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1982,236,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1982,4219,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1982,236,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1982,4219,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1982,632,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1982,23907,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1982,632,,,,Data reference period: June | Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1982,23907,,,,Data reference period: June | Age coverage - minimum age: 16 years old
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,313.2,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,3158.4,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1983,313.2,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,3158.4,,,,
Belgium,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,114.9,,,,
Belgium,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,3414.5,,,,
Belgium,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,3414.5,,,,
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1983,988.6,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1983,4466.3,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1983,988.6,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1983,4466.3,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Agriculture,1983,36.2,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Total,1983,206.5,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Agriculture,1983,36.2,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Total,1983,206.5,,,,Population coverage: Excluding armed forces and/or conscripts
Denmark,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,176.7,,,,
Denmark,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,2404.7,,,,
Denmark,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,2404.7,,,,
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,302,,,Break in series: Other or unspecified type of break,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,2419,,,Break in series: Other or unspecified type of break,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1983,302,,,Break in series: Other or unspecified type of break,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,2419,,,Break in series: Other or unspecified type of break,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
France,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,1789.4,,,,
France,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,21359.1,,,,
France,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,21359.1,,,,
Germany,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,1490.2,,,,
Germany,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,25947.2,,,,
Germany,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,25947.2,,,,
Greece,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,1052.6,,,,
Greece,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,3525.2,,,,
Greece,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,3525.2,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1983,1154.6,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1983,5183.6,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1983,1154.6,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1983,5183.6,,,,
Ireland,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,195.2,,,,
Ireland,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,1116.2,,,,
Ireland,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,1116.2,,,,
Italy,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,2461.2,,,,
Italy,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,20554.4,,,,
Italy,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,20554.4,,,,
Luxembourg,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,7,,,,
Luxembourg,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,145,,,,
Luxembourg,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,145,,,,
Netherlands,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,273.2,,,,
Netherlands,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,4951.1,,,,
Netherlands,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,4951.1,,,,
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Agriculture,1983,1024.3,,,Break in series: Other or unspecified type of break,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Total,1983,4352.8,,,Break in series: Other or unspecified type of break,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Agriculture,1983,1024.3,,,Break in series: Other or unspecified type of break,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Total,1983,4352.8,,,Break in series: Other or unspecified type of break,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Agriculture,1983,2067.1,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Total,1983,11044.4,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Agriculture,1983,2067.1,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Total,1983,11044.4,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,230,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,4224,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1983,230,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,4224,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
United Kingdom,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1983,586.8,,,,Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1983,23268.6,,,,Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1983,23268.6,,,,Age coverage - minimum age: 16 years old
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,304.1,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,3235.3,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1984,304.1,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,3235.3,,,,
Belgium,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,122.3,,,,
Belgium,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,3460.5,,,,
Belgium,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,3460.5,,,,
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1984,957.6,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1984,4459.5,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1984,957.6,,Nonstandard economic activity: Including veterinary services,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1984,4459.5,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Agriculture,1984,36.6,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Total,1984,214.1,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Agriculture,1984,36.6,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Total,1984,214.1,,,,Population coverage: Excluding armed forces and/or conscripts
Denmark,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,165,,,,
Denmark,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,2475.9,,,,
Denmark,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,2475.9,,,,
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,294,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,2442,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1984,294,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,2442,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
France,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,1847.9,,,,
France,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,21338.7,,,,
France,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,21338.7,,,,
Germany,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,1374.6,,,,
Germany,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,26051.3,,,,
Germany,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,26051.3,,,,
Greece,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,1038.9,,,,
Greece,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,3543.3,,,,
Greece,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,3543.3,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1984,1131.4,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1984,5147.3,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1984,1131.4,,,,
Hungary,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1984,5147.3,,,,
Ireland,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,185.5,,,,
Ireland,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,1096.1,,,,
Ireland,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,1096.1,,,,
Italy,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,2382.6,,,,
Italy,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,20335.3,,,,
Italy,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,20335.3,,,,
Luxembourg,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,6.8,,,,
Luxembourg,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,145.8,,,,
Luxembourg,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,145.8,,,,
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1984,247,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1984,4980,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1984,247,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Netherlands,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1984,4980,,,,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Agriculture,1984,1018.8,,,,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Aggregate): Total,1984,4288.2,,,,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Agriculture,1984,1018.8,,,,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Portugal,Employment by sex and economic activity (thousands),LFS - Inquérito ao Emprego,Sex: Total,Economic activity (Broad sector): Total,1984,4288.2,,,,Geographical coverage: Nonstandard geographical coverage | Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 12 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Agriculture,1984,1986.9,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Aggregate): Total,1984,10743.2,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Agriculture,1984,1986.9,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Spain,Employment by sex and economic activity (thousands),LFS - Encuesta de Población Activa,Sex: Total,Economic activity (Broad sector): Total,1984,10743.2,,,,Data reference period: Fourth quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,218,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,4255,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1984,218,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
Sweden,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,4255,,,,Population coverage: Including armed forces and/or conscripts | Reference group coverage: Nonstandard coverage of employed and/or unemployed persons | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 74 years old
United Kingdom,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1984,608.9,,,,Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1984,23763.2,,,,Age coverage - minimum age: 16 years old
United Kingdom,Employment by sex and economic activity (thousands),LFS - EU Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1984,23763.2,,,,Age coverage - minimum age: 16 years old
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1985,290.9,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1985,3234.5,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1985,290.9,,,,
Austria,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1985,3234.5,,,,
